.-----------------------------------------------------------------------------------------------------------.
| Report from 25 run(s) for <http://localhost:8081/components/epiviz-charts/performance/index-test.html> using phantomas v1.20.0 |
|-----------------------------------------------------------------------------------------------------------|
|             Metric             |     min      |     max      |   average    |    median    |    stddev    |
|--------------------------------|--------------|--------------|--------------|--------------|--------------|
| requests                       |           15 |           15 |           15 |           15 |            0 |
| gzipRequests                   |           11 |           11 |           11 |           11 |            0 |
| postRequests                   |            0 |            0 |            0 |            0 |            0 |
| httpsRequests                  |            5 |            5 |            5 |            5 |            0 |
| notFound                       |            1 |            1 |            1 |            1 |            0 |
| bodySize [bytes]               |       331401 |      1187637 |    635119.36 |       546736 |     257579.6 |
| contentLength [bytes]          |       331401 |      1187637 |    635119.36 |       546736 |     257579.6 |
| httpTrafficCompleted [ms]      |         1202 |         1508 |       1264.6 |         1240 |        79.17 |
| timeToFirstByte [ms]           |           13 |           22 |        15.88 |           15 |         2.34 |
| timeToLastByte [ms]            |           29 |           44 |        32.28 |           31 |         3.69 |
| ajaxRequests                   |            4 |            4 |            4 |            4 |            0 |
| htmlCount                      |            2 |            2 |            2 |            2 |            0 |
| htmlSize [bytes]               |        68716 |        68716 |        68716 |        68716 |            0 |
| cssCount                       |            2 |            2 |            2 |            2 |            0 |
| cssSize [bytes]                |        31092 |        36856 |     36625.44 |        36856 |      1129.51 |
| jsCount                        |            5 |            5 |            5 |            5 |            0 |
| jsSize [bytes]                 |       146257 |       943320 |    409993.84 |       320507 |    256582.16 |
| jsonCount                      |            3 |            3 |            3 |            3 |            0 |
| jsonSize [bytes]               |        19952 |        19952 |        19952 |        19952 |            0 |
| imageCount                     |            0 |            0 |            0 |            0 |            0 |
| imageSize [bytes]              |            0 |            0 |            0 |            0 |            0 |
| videoCount                     |            0 |            0 |            0 |            0 |            0 |
| videoSize [bytes]              |            0 |            0 |            0 |            0 |            0 |
| webfontCount                   |            2 |            2 |            2 |            2 |            0 |
| webfontSize [bytes]            |        59619 |       118792 |     99831.08 |        98894 |     18138.97 |
| base64Count                    |            0 |            0 |            0 |            0 |            0 |
| base64Size [bytes]             |            0 |            0 |            0 |            0 |            0 |
| otherCount                     |            1 |            1 |            1 |            1 |            0 |
| otherSize [bytes]              |            1 |            1 |            1 |            1 |            0 |
| cacheHits                      |            5 |            5 |            5 |            5 |            0 |
| cacheMisses                    |            0 |            0 |            0 |            0 |            0 |
| cachePasses                    |            0 |            0 |            0 |            0 |            0 |
| cachingNotSpecified            |            0 |            0 |            0 |            0 |            0 |
| cachingTooShort                |            1 |            1 |            1 |            1 |            0 |
| cachingDisabled                |            3 |            3 |            3 |            3 |            0 |
| oldCachingHeaders              |            6 |            6 |            6 |            6 |            0 |
| cachingUseImmutable            |            3 |            3 |            3 |            3 |            0 |
| consoleMessages                |            0 |            0 |            0 |            0 |            0 |
| cookiesSent [bytes]            |            0 |            0 |            0 |            0 |            0 |
| cookiesRecv [bytes]            |            0 |            0 |            0 |            0 |            0 |
| domainsWithCookies             |            0 |            0 |            0 |            0 |            0 |
| documentCookiesLength [bytes]  |            0 |            0 |            0 |            0 |            0 |
| documentCookiesCount           |            1 |            1 |            1 |            1 |            0 |
| documentHeight [px]            |          768 |          768 |          768 |          768 |            0 |
| commentsSize [bytes]           |         2210 |         2210 |         2210 |         2210 |            0 |
| whiteSpacesSize [bytes]        |         1255 |         1255 |         1255 |         1255 |            0 |
| DOMelementsCount               |           45 |           45 |           45 |           45 |            0 |
| DOMelementMaxDepth             |           11 |           11 |           11 |           11 |            0 |
| nodesWithInlineCSS             |            2 |            2 |            2 |            2 |            0 |
| imagesScaledDown               |            0 |            0 |            0 |            0 |            0 |
| imagesWithoutDimensions        |            0 |            0 |            0 |            0 |            0 |
| DOMidDuplicated                |            1 |            1 |            1 |            1 |            0 |
| hiddenContentSize [bytes]      |         2297 |         2297 |         2297 |         2297 |            0 |
| hiddenImages                   |            0 |            0 |            0 |            0 |            0 |
| DOMmutationsInserts            |           39 |           39 |           39 |           39 |            0 |
| DOMmutationsRemoves            |           10 |           10 |           10 |           10 |            0 |
| DOMmutationsAttributes         |            6 |            6 |            6 |            6 |            0 |
| DOMqueries                     |          420 |          420 |          420 |          420 |            0 |
| DOMqueriesWithoutResults       |            3 |            3 |            3 |            3 |            0 |
| DOMqueriesById                 |            0 |            0 |            0 |            0 |            0 |
| DOMqueriesByClassName          |            0 |            0 |            0 |            0 |            0 |
| DOMqueriesByTagName            |            7 |            7 |            7 |            7 |            0 |
| DOMqueriesByQuerySelectorAll   |          413 |          413 |          413 |          413 |            0 |
| DOMinserts                     |          270 |          270 |          270 |          270 |            0 |
| DOMqueriesDuplicated           |            3 |            3 |            3 |            3 |            0 |
| DOMqueriesAvoidable            |          293 |          293 |          293 |          293 |            0 |
| domains                        |            5 |            5 |            5 |            5 |            0 |
| maxRequestsPerDomain           |            6 |            6 |            6 |            6 |            0 |
| medianRequestsPerDomain        |            3 |            3 |            3 |            3 |            0 |
| eventsBound                    |          465 |          465 |          465 |          465 |            0 |
| eventsDispatched               |           95 |           95 |           95 |           95 |            0 |
| eventsScrollBound              |            0 |            0 |            0 |            0 |            0 |
